Actor1CountryCode
KOR
SCN
SRB
COG
ERI
TUR
PRI
SVK
TUV
UGA
BTN
CAS
COM
GMB
EAF
MNG
SAF
NAF
COL
PRY
CRB
SAU
AIA
CPV
FJI
LCA
AFG
CHE
VNM
KEN
BLZ
PAN
CAU
LKA
VEN
WST
MLI
SUR
LVA
HKG
LBN
MRT
BGD
LTU
PGS
ARG
NPL
EEU
USA
MYS
BHS
BWA
BEN
CMR
LIE
BGR
GIN
HUN
HTI
SWZ
WAF
STP
LUX
FRA
IDN
POL
IRQ
TTO
NZL
MAR
LAO
GBR
COK
RUS
YEM
TKM
BOL
ETH
MUS
NGA
BDI
NMR
ISL
SWE
CIV
GNQ
PSE
MDG
FIN
MEX
EUR
PRK
BMU
ESP
ISR
PRT
ROM
CYM
AZE
MHL
BEL
KWT
BFA
SOM
DNK
CHN
COD
KNA
TZA
WSM
LAM
ZAF
ARE
AUT
HND
NOR
EGY
ABW
DMA
RWA
SMR
DEU
EST
BHR
GAB
NAM
MOZ
VUT
QAT
TGO
SLB
BRN
LSO
ZWE
TON
SDN
BLR
ECU
VAT
SGP
PNG
ALB
AND
GRC
VCT
CAF
DOM
MCO
ARM
URY
DJI
MAC
IRL
JOR
CZE
KHM
MLT
GEO
WLF
ITA
NLD
IRN
FSM
SYR
MKD
UZB
CHL
SEA
ZMB
SAS
NIC
GNB
DZA
MMR
JPN
GHA
PLW
NRU
SHN
THA
GUY
BRB
SAM
TUN
KAZ
PAK
ASA
TJK
PHL
UKR
TWN
BRA
TCD
MEA
SEN
MWI
KGZ
NER
BLK
IND
SLE
LBR
SSD
TMP
KIR
MDV
CUB
CRI
MDA
CYP
GRD
SLV
CAN
JAM
OMN
AFR
PER
GTM
LBY
HRV
AGO
AUS
ATG
SYC
