Actor1CountryCode
DEU
SYR
MLT
COM
MEX
VUT
MUS
EST
CHN
IND
GTM
SGP
SVK
MOZ
CYM
KGZ
HND
WLF
LBN
CRB
DMA
TWN
NAF
SDN
AFG
NIC
GRD
LBY
BEN
ISR
IDN
KNA
CIV
BLK
TCD
RUS
IRN
SLE
GMB
SMR
OMN
KHM
AND
AFR
DJI
LTU
SUR
TTO
SEN
BDI
BHS
BMU
DZA
GAB
ITA
VCT
MKD
PHL
MDG
ESP
LCA
MEA
CAU
CZE
ARG
USA
NAM
ERI
ARM
PNG
MWI
MHL
CHE
PAN
HUN
AZE
URY
JPN
ZAF
IRQ
PRT
BTN
PLW
NGA
BWA
COK
DOM
BEL
NER
EGY
SAM
AUS
STP
GNQ
NOR
BFA
PSE
ECU
ISL
JAM
ASA
QAT
SRB
PRI
CPV
UGA
FSM
MLI
SOM
SAF
SEA
BRN
PAK
FJI
SWZ
HTI
KAZ
TGO
CMR
COG
MMR
TUN
KWT
PGS
MCO
BLR
SHN
MYS
FIN
GUY
RWA
SSD
EEU
WST
SLB
NPL
ALB
WAF
SAS
MNG
AGO
BGR
POL
NLD
BRB
TKM
IRL
MDV
MAR
ATG
PRY
ABW
SWE
CHL
LAM
HRV
GIN
LVA
SCN
KEN
YEM
LSO
NZL
PRK
HKG
GRC
ZMB
CYP
CUB
BHR
CAN
VNM
UKR
ZWE
ARE
LIE
ETH
LKA
MAC
SLV
PER
LBR
TMP
COL
UZB
SYC
EUR
BRA
LAO
BLZ
MDA
TON
COD
GNB
CAF
CAS
CRI
GBR
BGD
JOR
BOL
TJK
DNK
EAF
LUX
VAT
VEN
WSM
MRT
ROM
KIR
FRA
KOR
TUR
SAU
GHA
TZA
NMR
GEO
TUV
THA
NRU
AIA
AUT
