YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2004,GEO,0,0
2004,GHA,-14,5
2004,GIN,-4,2
2004,GNB,0,0
2004,GRC,-23.5,5
2004,GUY,-2.8,3
2004,HKG,-32,7
2004,HND,-18,2
2004,HRV,-43.5,9
2004,HTI,-10.8,7
2004,HUN,-4,1
2004,IDN,-350.6,58
2004,IND,-131.10000000000005,34
2004,IRL,-53.5,7
2004,IRN,-249.4,55
2004,IRQ,-1559.0000000000016,246
2004,ISL,0,0
2004,ISR,-411.09999999999985,84
2004,ITA,-97.8,22
2004,JAM,-40,4
2004,JOR,-52,9
2004,JPN,-9738.999999999975,2201
2004,KAZ,-114.4,34
2004,KEN,-138.6,27
2004,KGZ,-224.20000000000005,50
2004,KHM,-232.50000000000003,45
2004,KOR,-2458.100000000002,555
2004,KWT,-13.2,4
2004,LAO,-207.40000000000003,38
2004,LBN,-12.4,7
2004,LBR,-22.9,8
2004,LKA,-47.2,14
2004,LTU,0,0
2004,LUX,0,0
2004,LVA,0,0
2004,MAC,-104,24
2004,MAR,-34.4,11
2004,MDA,0,0
2004,MDG,-4.4,1
2004,MEX,-90,24
2004,MKD,-11.200000000000001,4
2004,MLI,0,0
2004,MLT,0,0
2004,MMR,-336.4,50
2004,MNE,0,0
2004,MNG,-111.20000000000002,25
2004,MOZ,-6.4,3
2004,MUS,-4,1
2004,MWI,0,0
2004,MYS,-380.79999999999995,79
2004,NAM,-45,9
2004,NER,0,0
2004,NGA,-150.8,33
2004,NIC,-16,4
2004,NLD,-140.2,27
2004,NOR,-270.2,34
2004,NPL,-385.29999999999995,93
2004,NZL,-28.1,9
2004,OMN,0,0
2004,PAK,-3268.7000000000016,462
2004,PAN,-20,4
2004,PER,0,0
2004,PHL,-362.29999999999995,82
2004,PNG,-56.699999999999996,13
2004,POL,-124.4,25
2004,PRK,-5553.000000000001,1121
2004,PRT,-69,12
2004,PRY,-10,3
2004,QAT,-2,1
2004,ROM,0,0
2004,RUS,-4408.600000000002,915
2004,RWA,-34,5
2004,SAU,-359.4999999999999,57
2004,SDN,-560.3999999999997,95
2004,SEN,-6,3
2004,SGP,-412.6999999999998,102
2004,SLE,0,0
2004,SLV,-9,3
2004,SOM,-13,3
2004,SRB,-69,12
2004,SUR,-5,1
2004,SVK,-65.4,14
2004,SVN,0,0
2004,SWE,-20.5,9
2004,SYR,-87.2,17
2004,TCD,-0.4,1
2004,TGO,0,0
2004,THA,-497.49999999999994,74
2004,TJK,-115,28
2004,TKM,-6,3
2004,TTO,0,0
2004,TUN,-4,1
2004,TUR,-108.60000000000002,17
2004,TZA,-5,1
2004,UGA,-52.599999999999994,18
2004,UKR,-192.60000000000002,35
2004,URY,0,0
2004,USA,-9367.799999999988,2334
2004,UZB,-221.90000000000003,42
2004,VEN,-24,6
2004,VNM,-1770.400000000001,295
2004,VUT,-87,18
2004,YEM,0,0
2004,ZAF,-76.4,18
2004,ZMB,-20,4
2004,ZWE,-61,14
2005,AFG,-146.20000000000002,21
2005,AGO,-5,1
2005,ARE,0,0
2005,ARG,-35.2,5
2005,ARM,0,0
2005,ATG,0,0
2005,AUS,-851.2,246
2005,AUT,-6,3
2005,AZE,-2,1
2005,BEL,-92.00000000000001,31
2005,BGD,-70.4,15
2005,BGR,-10,2
2005,BHR,0,0
2005,BIH,0,0
2005,BLR,-127,30
2005,BMU,0,0
2005,BOL,-24,4
2005,BRA,-162.50000000000003,33
2005,BRN,-38.8,7
2005,BWA,-13,2
2005,CAN,-375.20000000000005,81
2005,CHE,-132.8,34
2005,CHL,0,0
2005,CMR,-59.5,6
2005,COD,0,0
2005,COG,-25,3
2005,COL,-8,4
2005,CRI,0,0
2005,CUB,-25,7
2005,CYM,0,0
2005,CYP,-35.4,7
2005,CZE,-139,32
2005,DEU,-653.8999999999997,122
2005,DJI,0,0
2005,DNK,-130,24
2005,DOM,0,0
2005,DZA,0,0
2005,ECU,0,0
2005,EGY,-52,12
2005,ESP,-162.20000000000002,35
2005,EST,0,0
2005,ETH,-21,5
2005,FIN,0,0
2005,FJI,-87,13
2005,FRA,-824.1999999999999,184
2005,FSM,-14,4
2005,GAB,0,0
2005,GBR,-1009.8999999999996,249
2005,GEO,0,0
2005,GHA,-18,4
2005,GIN,0,0
2005,GNB,0,0
2005,GRC,-56.8,14
2005,GUY,0,0
2005,HKG,-2.4,2
2005,HND,0,0
2005,HRV,-71.4,14
2005,HTI,-30,8
2005,HUN,-8.8,2
2005,IDN,-372.7,69
2005,IND,-69.6,25
2005,IRL,0,0
2005,IRN,-269.4,69
2005,IRQ,-703.0999999999996,118
2005,ISL,-4,1
2005,ISR,-164.70000000000002,39
2005,ITA,-267.6,69
2005,JAM,0,0
2005,JOR,-227.4,30
2005,JPN,-15578.999999999975,3450
2005,KAZ,-60.199999999999996,14
2005,KEN,-56,14
2005,KGZ,-181.60000000000002,57
2005,KHM,-77.3,13
2005,KOR,-2023.4000000000017,447
2005,KWT,0,0
2005,LAO,-23.5,4
2005,LBN,-57.2,12
2005,LBR,-54.8,11
2005,LKA,-66.80000000000001,11
2005,LTU,0,0
2005,LUX,-64.30000000000001,13
2005,LVA,0,0
2005,MAC,-73.4,10
2005,MAR,-4.800000000000001,3
2005,MDA,0,0
2005,MDG,0,0
2005,MEX,-71.8,24
