YEAR,Actor2CountryCode,GoldsteinScale,Record Count
2004,NAM,-45,9
2004,NGA,-160.8,35
2004,NIC,-16,4
2004,NLD,-140.2,27
2004,NOR,-270.2,34
2004,NPL,-385.29999999999995,93
2004,NZL,-28.1,9
2004,PAK,-3288.700000000002,464
2004,PAN,-20,4
2004,PHL,-371.49999999999994,83
2004,PNG,-56.699999999999996,13
2004,POL,-124.4,25
2004,PRK,-5552.999999999997,1121
2004,PRT,-69,12
2004,PRY,-10,3
2004,QAT,-2,1
2004,RUS,-4449.8,920
2004,RWA,-34,5
2004,SAU,-359.4999999999999,57
2004,SDN,-560.3999999999997,95
2004,SEN,-6,3
2004,SGP,-412.6999999999999,102
2004,SLV,-9,3
2004,SOM,-13,3
2004,SRB,-69,12
2004,SUR,-5,1
2004,SVK,-65.4,14
2004,SWE,-20.5,9
2004,SYR,-87.2,17
2004,TCD,-0.4,1
2004,THA,-497.5,74
2004,TJK,-115,28
2004,TKM,-6,3
2004,TUN,-4,1
2004,TUR,-108.60000000000002,17
2004,TZA,-5,1
2004,UGA,-54.599999999999994,19
2004,UKR,-192.60000000000002,35
2004,USA,-9419.399999999983,2352
2004,UZB,-221.90000000000003,42
2004,VEN,-24,6
2004,VNM,-1770.400000000001,295
2004,VUT,-87,18
2004,ZAF,-80.80000000000001,19
2004,ZMB,-20,4
2004,ZWE,-61,14
2005,AFG,-146.20000000000002,21
2005,AGO,-5,1
2005,ARG,-35.2,5
2005,AUS,-853.5999999999999,248
2005,AUT,-6,3
2005,AZE,-2,1
2005,BEL,-92.00000000000001,31
2005,BGD,-70.4,15
2005,BGR,-10,2
2005,BLR,-127,30
2005,BOL,-24,4
2005,BRA,-162.50000000000003,33
2005,BRN,-38.8,7
2005,BWA,-13,2
2005,CAN,-380.20000000000005,82
2005,CHE,-133.2,35
2005,CMR,-59.5,6
2005,COG,-25,3
2005,COL,-8,4
2005,CUB,-25,7
2005,CYP,-35.4,7
2005,CZE,-139,32
2005,DEU,-653.8999999999999,122
2005,DNK,-130,24
2005,EGY,-52,12
2005,ESP,-162.20000000000002,35
2005,ETH,-21,5
2005,FJI,-87,13
2005,FRA,-824.1999999999999,184
2005,FSM,-14,4
2005,GBR,-1032.8999999999996,253
2005,GHA,-18,4
2005,GRC,-56.8,14
2005,HKG,-2.4,2
2005,HRV,-76.4,15
2005,HTI,-30,8
2005,HUN,-8.8,2
2005,IDN,-392.7,73
2005,IND,-69.6,25
2005,IRN,-269.4,69
2005,IRQ,-703.0999999999997,118
2005,ISL,-4,1
2005,ISR,-164.70000000000002,39
2005,ITA,-280.6,71
2005,JOR,-227.4,30
2005,JPN,-15644.499999999969,3461
2005,KAZ,-65.2,15
2005,KEN,-56,14
2005,KGZ,-181.60000000000005,57
2005,KHM,-77.3,13
2005,KOR,-2027.400000000002,448
2005,LAO,-23.5,4
2005,LBN,-57.2,12
2005,LBR,-54.8,11
2005,LKA,-66.80000000000001,11
2005,LUX,-64.30000000000001,13
2005,MAC,-73.4,10
2005,MAR,-4.8,3
2005,MEX,-71.8,24
2005,MLT,-10,2
2005,MMR,-327.9,59
2005,MNG,-157.89999999999998,25
2005,MOZ,-14.3,5
2005,MUS,-20,3
2005,MWI,-4,2
2005,MYS,-352.29999999999995,94
2005,NAM,-17,3
2005,NGA,-112.7,21
2005,NLD,-71,15
2005,NOR,-4,1
2005,NPL,-300.9,88
2005,NZL,-55.599999999999994,12
2005,PAK,-456.09999999999985,77
2005,PAN,-8,2
2005,PER,-4,2
2005,PHL,-361.0999999999999,72
2005,PNG,-4,2
2005,POL,-5.200000000000001,5
2005,PRK,-3222.800000000004,601
2005,PRT,-24,3
2005,QAT,-21,7
2005,RUS,-5069.999999999995,965
2005,SAU,-47,13
2005,SDN,-31.6,15
2005,SEN,-41.2,9
2005,SGP,-488.79999999999995,102
2005,SLE,-52,7
2005,SOM,-34,5
2005,SRB,-5.800000000000001,3
2005,SUR,-2,1
2005,SVK,-37.5,7
2005,SWE,-52.39999999999999,17
2005,SYR,-41.4,13
2005,THA,-272.3,45
2005,TJK,-49,10
2005,TKM,-30.900000000000002,6
2005,TTO,-8,1
2005,TUN,-2,1
2005,TUR,-232.8,34
2005,UGA,-59.8,16
2005,UKR,-163.60000000000002,39
2005,URY,-13,5
2005,USA,-7486.399999999989,1943
2005,UZB,-135.5,33
2005,VEN,-6,2
2005,VNM,-752.5999999999999,112
2005,VUT,-26,5
2005,YEM,-5,1
2005,ZAF,-25.4,9
2005,ZMB,-10,5
2005,ZWE,-101.5,25
2006,AFG,-344.79999999999995,65
